Date,Open,High,Low,Close,Adj Close,Volume
2016-09-08,62.130001,62.740002,61.419998,62.401798,62.639999,7895200
2016-09-09,61.950001,62.299999,59.000000,59.293667,59.520000,17444000
2016-09-12,58.730000,60.869999,57.320000,60.518986,60.750000,14956500
2016-09-13,60.599998,61.299999,59.529999,59.642334,59.869999,11794200
2016-09-14,60.009998,60.599998,59.509998,60.170319,60.400002,7976200
2016-09-15,60.500000,62.759998,60.360001,62.451607,62.689999,12880300
2016-09-16,62.910000,63.250000,62.119999,62.601040,62.840000,22561100
2016-09-19,63.500000,65.260002,63.209999,63.427876,63.669998,10428200
2016-09-20,64.400002,64.400002,62.740002,62.850090,63.090000,8277800
2016-09-21,63.279999,64.980003,63.270000,64.613358,64.860001,8405300
2016-09-22,65.239998,65.440002,64.650002,64.772751,65.019997,7718300
2016-09-23,65.099998,65.290001,64.660004,64.703011,64.949997,6903300
2016-09-26,64.209999,64.599998,63.529999,64.095329,64.339996,5751000
2016-09-27,64.089996,66.639999,64.059998,66.286972,66.540001,10068800
2016-09-28,66.639999,66.830002,65.930000,66.526054,66.779999,7994700
2016-09-29,66.669998,67.610001,66.050003,67.143692,67.400002,8417100
2016-09-30,67.769997,69.190002,67.370003,68.259438,68.519997,10748300
2016-10-03,68.519997,69.510002,68.330002,68.189705,68.449997,6064900
2016-10-04,68.550003,69.699997,67.790001,68.040276,68.300003,7040600
2016-10-05,68.879997,69.580002,68.019997,67.970551,68.230003,7636000
2016-10-06,67.410004,67.830002,66.260002,67.083916,67.339996,9005300
2016-10-07,67.790001,67.970001,66.660004,66.595787,66.849998,7156500
2016-10-10,67.199997,67.559998,66.470001,66.844833,67.099998,7196900
2016-10-11,66.879997,66.980003,65.620003,65.878525,66.129997,9713500
2016-10-12,65.860001,66.779999,65.309998,66.177383,66.430000,10498000
2016-10-13,65.650002,65.800003,63.700001,65.101494,65.349998,9752900
2016-10-14,66.150002,66.599998,65.599998,65.739059,65.989998,8265900
2016-10-17,65.980003,66.599998,65.519997,65.360504,65.610001,4883200
2016-10-18,66.519997,66.989998,66.250000,66.356705,66.610001,6734300
2016-10-19,66.160004,66.779999,65.820000,66.217239,66.470001,4976500
2016-10-20,67.250000,67.949997,66.300003,67.472450,67.730003,7802100
2016-10-21,67.489998,67.660004,66.900002,67.283165,67.540001,6987700
2016-10-24,68.000000,70.790001,67.989998,70.441109,70.709999,8495900
2016-10-25,70.589996,72.300003,70.250000,71.596703,71.870003,9936500
2016-10-26,71.269997,72.949997,71.199997,71.885605,72.160004,8344800
2016-10-27,72.709999,72.849998,70.389999,70.411224,70.680000,9716600
2016-10-28,71.019997,72.099998,70.430000,70.291679,70.559998,7271400
2016-10-31,70.790001,71.629997,70.750000,70.889404,71.160004,6309700
2016-11-01,71.419998,71.809998,68.290001,68.787422,69.050003,11830600
2016-11-02,69.580002,70.519997,68.639999,68.498528,68.760002,7396200
2016-11-03,69.080002,69.139999,66.639999,67.701569,67.959999,7741600
2016-11-04,67.510002,68.730003,66.580002,67.313049,67.570000,8219500
2016-11-07,69.550003,71.720001,69.500000,70.998978,71.269997,12189500
2016-11-08,71.540001,71.769997,70.500000,70.889404,71.160004,10717500
2016-11-09,69.230003,70.900002,68.720001,69.693962,69.959999,11413300
2016-11-10,71.489998,71.500000,66.760002,67.512283,67.769997,21732000
2016-11-11,79.510002,88.769997,78.500000,87.635475,87.970001,54335100
2016-11-14,88.089996,88.190002,83.620003,83.321938,83.639999,33719900
2016-11-15,84.290001,87.449997,83.930000,85.862244,86.190002,15652300
2016-11-16,87.339996,92.559998,86.349998,91.281555,91.629997,24699600
2016-11-17,92.309998,94.790001,90.650002,92.038673,92.389999,20824700
2016-11-18,92.389999,94.330002,91.800003,93.004982,93.360001,14401500
2016-11-21,94.089996,94.349998,92.400002,92.626434,92.980003,10910900
2016-11-22,93.300003,93.739998,92.379997,93.293877,93.650002,8259200
2016-11-23,93.720001,95.250000,92.769997,93.752815,93.970001,11080900
2016-11-25,94.419998,95.099998,93.410004,93.942383,94.160004,4889100
2016-11-28,93.870003,94.739998,93.599998,93.892494,94.110001,6968400
2016-11-29,94.000000,94.440002,92.529999,93.034477,93.250000,11114200
2016-11-30,93.599998,94.160004,92.099998,91.986908,92.199997,11012500
2016-12-01,92.099998,92.169998,84.769997,87.437447,87.639999,25888100
2016-12-02,86.250000,88.800003,85.120003,88.245567,88.449997,11957300
2016-12-05,89.989998,92.610001,89.000000,91.667641,91.879997,15057100
2016-12-06,92.209999,93.730003,91.570000,93.174156,93.389999,12469900
2016-12-07,92.839996,95.300003,92.099998,94.850273,95.070000,12020100
2016-12-08,95.190002,96.620003,93.050003,93.263954,93.480003,9538600
2016-12-09,94.199997,94.269997,90.709999,91.607780,91.820000,9557800
2016-12-12,89.849998,89.949997,87.540001,89.382935,89.589996,15033300
2016-12-13,90.089996,92.290001,90.050003,90.959290,91.169998,9694900
2016-12-14,92.540001,97.110001,91.570000,96.227074,96.449997,24599500
2016-12-15,96.900002,99.940002,96.599998,98.481857,98.709999,18663700
2016-12-16,99.830002,100.699997,97.730003,100.177933,100.410004,27238200
2016-12-19,99.699997,102.449997,99.000000,101.395111,101.629997,18616400
2016-12-20,104.580002,106.129997,104.120003,104.926933,105.169998,21201400
2016-12-21,105.639999,105.949997,103.709999,105.585411,105.830002,14403400
2016-12-22,106.820000,108.870003,106.529999,106.862442,107.110001,17965300
2016-12-23,106.379997,109.839996,106.269997,109.526276,109.779999,16168700
2016-12-27,112.059998,117.360001,111.220001,117.048843,117.320000,29856800
2016-12-28,119.599998,119.930000,108.690002,108.997505,109.250000,57394100
2016-12-29,104.900002,111.489998,102.800003,111.172462,111.430000,54384200
2016-12-30,111.349998,111.919998,106.300003,106.493294,106.739998,30323300
